OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
13354,No Damage,1030.0,Silverado,Trail,,CA,,LNU,Napa,St. Helena,9/27/2020 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,,Concrete,Enclosed,No Vents,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,33651388.0,1962.0,1030 SILVERADO TRL N SAINT HELENA CA 94574,38.5181400975241,-122.462523126487
78150,Destroyed (>50%),20228.0,Meyer,Road,Grass Valley,CA,95945.0,NEU,Nevada,,8/4/2021 12:00:00 AM,Fire,,Motor Home,Single Residence,,Other,No Eaves,No Vents,Other,Single Pane,No Deck/Porch,No Deck/Porch,Unknown,No Fence,11-20,,56514.0,,20228 MEYER RD GRASS VALLEY CA 95945,39.1327525045623,-120.976370354667
108443,Destroyed (>50%),113.0,W Manor,Street,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,Unknown,Non Combustible,,,311077.0,,"111 W MANOR ST, ALTADENA, CA 91001",34.1939651,-118.1502359
85672,No Damage,101.0,Lake Almanor West,Drive,Chester,CA,96020.0,LMU,Plumas,Lake Almanor West,7/13/2021 12:00:00 AM,Fire,Engine Company Actions,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,21-30,<30',185777.0,,101 LAKE ALMANOR WEST DR CHESTER CA 96020,40.2384133466312,-121.218388902434
51874,Destroyed (>50%),11549.0,Market,Street,Unincorporated,CA,,SHU,Shasta,Redding,7/23/2018 12:00:00 AM,Fire,Unknown,Mobile Home Single Wide,Single Residence,,Metal,Unknown,Unknown,Ignition Resistant,Unknown,Wood,Wood,Combustible,No Fence,>30,30-50',37072.0,0.0,,40.6241362001431,-122.463154747234
36648,Destroyed (>50%),6907.0,Linry,Lane,Paradise Northeast A,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,204312.0,1990.0,6907  LINRY LN   PARADISE CA 95969,39.7859359914128,-121.577942053592
57564,No Damage,0.0, ,,Los Angeles ,CA,0.0,LAC,Los Angeles,,12/6/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,,,,1143549.0,1980.0,1401 MORAGA DR LOS ANGELES CA 90049,34.0922746878429,-118.469116997586
15752,Destroyed (>50%),1093.0,Headlands ,Drive,,CA,,LNU,Napa,Napa ,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,,,149283.0,1997.0,1093 HEADLANDS DR NAPA CA 94558,38.514133259234,-122.183078170547
109497,No Damage,1301.0,E Altadena,Drive,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,143288.0,1948.0,"1301 E ALTADENA DR, ALTADENA, CA 91001",34.1906708,-118.1239025
52337,Destroyed (>50%),15923.0,Log Cabin ,Road,Unincorporated,CA,,SHU,Shasta,French Gulch ,7/23/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Metal,Unknown,Unknown,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,21-30,<30',45000.0,2000.0,15923 LOG CABIN RD FRENCH GULCH CA 96033,40.7508375633472,-122.613430358278
83078,No Damage,2562.0,Blitzen,Road,South Lake Tahoe,CA,96150.0,AEU,El Dorado,,8/14/2021 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,No Deck/Porch,Combustible,Combustible,,,238262.0,,2562 BLITZEN RD SOUTH LAKE TAHOE CA 96150,38.8361390153666,-120.018414434818
1372,Destroyed (>50%),0.0,Hoaglin School ,Road,Kettenpom ,CA,,HUU,Trinity,,8/17/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Metal,Unknown,No Vents,Wood,Single Pane,Wood,No Deck/Porch,Non Combustible,Non Combustible,,,94419.0,,8130 Zenia-Lake Mountain Rd ZENIA CA 95595,40.1114123395531,-123.422709769799
23022,No Damage,325.0,Crow's Nest,Drive,,CA,,CZU,Santa Cruz,Boulder Creek,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,280908.0,1979.0,325 CROWS NEST DR BOULDER CREEK CA 95006,37.1489019536592,-122.150533032456
121420,Destroyed (>50%),15314.0,Antioch,Street,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,118446.0,1940.0,"15314 ANTIOCH ST, PACIFIC PALISADES, CA 90272",34.0469326,-118.5266694
16448,Destroyed (>50%),9375.0,Steele Canyon,Road,,CA,,LNU,Napa,Napa,8/16/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Metal,No Eaves,No Vents,Metal,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,196807.0,1998.0,9375 STEELE CANYON RD NAPA CA 94558,38.4791028678556,-122.184136280849
65390,Destroyed (>50%),7819.0,Mountain Ranch,Road,Mountain Ranch,CA,95246.0,TCU,Calaveras,Mountain Ranch,9/9/2015 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Combustible,Unknown,Unknown,Combustible,Unknown, , , ,,,,260922.0,,7819 SHEEP RANCH RD MOUNTAIN RANCH CA 95246,38.2436518232844,-120.509398905826
33033,Destroyed (>50%),8556.0,Skyway,,Paradise Northwest B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Ignition Resistant,Single Pane,Masonry/Concrete,Wood,Combustible,Unknown,,<30',73937.0,0.0,8556  SKYWAY     PARADISE CA 95969,39.7810193512973,-121.602409387036
128272,Destroyed (>50%),1053.0,Villa Grove,Drive,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Unknown,Non Combustible,,,818780.0,1953.0,"1053 VILLA GROVE DR, PACIFIC PALISADES, CA 90272",34.0494967,-118.5137151
97580,No Damage,32061.0,Pine Cone,Road,Running Springs,CA,92382.0,BDU,San Bernardino,,9/5/2024 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Metal,Enclosed,No Vents,Wood,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Combustible,,,135205.0,1967.0,"32061 PINE CONE DR, RUNNING SPRINGS, CA 92382",34.2035882,-117.1035186
11783,No Damage,775.0,Deer Park ,Road,,CA,,LNU,Napa,,9/27/2020 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,,,185176.0,,775 DEER PARK RD SAINT HELENA CA 94574,38.5411367834908,-122.454750156149
94952,No Damage,5074.0,Old Highway North,,Mariposa,CA,95338.0,MMU,Mariposa,,7/4/2024 12:00:00 AM,Fire,,School,Nonresidential Commercial,0.0,Metal,Enclosed,"Mesh Screen <= 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,0.0,0.0,"5074 OLD HWY N, MARIPOSA, CA 95338",37.4881015,-119.9636031
102049,No Damage,2560.0,Allen,Avenue,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Engine Company Actions,Utility Misc Structure,Other Minor Structure,0.0,Tile,Unenclosed,No Vents,Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,,169807.0,1939.0,"2560 ALLEN AVE, ALTADENA, CA 91001",34.1898666,-118.1117096
96260,No Damage,33521.0,Cessna ,Avenue,,CA,0.0,TGU,Tehama,,7/24/2024 12:00:00 AM,Fire,Dozer Fuel Break,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,No Windows,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,,3709.0,0.0,"33527 CESSNA AVE, PAYNES CREEK, CA 96075",40.3414299,-121.7808914
95923,No Damage,16260.0,Stage,Road,Forest Ranch,CA,95942.0,BTU,Butte,,7/24/2024 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,21-30,,284800.0,1968.0,"16260 STAGE RD, FOREST RANCH, CA 95942",39.9005821,-121.6594297
20009,No Damage,164.0,Timber,Lane,,CA,,BEU,Monterey,,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,339705.0,1999.0,164 PINE CANYON RD SALINAS CA 93908,36.578746444979,-121.633804316846
67817,Destroyed (>50%),2005.0,Bluesage,Court,Santa Rosa,CA,0.0,LNU,Sonoma,Fountaingrove,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unknown,Screened,Combustible,Multi Pane, , , ,,,,371086.0,,2005 BLUESAGE CT SANTA ROSA CA 95403,38.4913216471999,-122.705881944489
19024,No Damage,6841.0,Forbes,Drive,,CA,,LNU,Solano,Vacaville,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,346958.0,1988.0,6841 FORBES DR VACAVILLE CA 95688,38.3906201259133,-122.005283045372
101829,Destroyed (>50%),459.0,Devirian ,Place,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,Unknown,Combustible,,,97851.0,1942.0,"459 DEVIRIAN PL, ALTADENA, CA 91001",34.1961808,-118.1569406
49030,Destroyed (>50%),34342.0,Mulholland Highway,Road,Los Angeles County,CA,,LAC,Los Angeles,,11/8/2018 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,204000.0,1998.0,34342 MULHOLLAND HWY MALIBU CA 90265,34.0837378384169,-118.897011000339
40381,Destroyed (>50%),3390.0,Dry Creek,Road,Unincorporated,CA,,BTU,Butte,Butte Valley ,11/8/2018 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,Combustible,Non Combustible,>30,,27254.0,1969.0,3390  DRY CREEK RD   BUTTE VALLEY CA 95965,39.6752964157958,-121.581775022077
75661,No Damage,1506.0,Mt Weske ,Drive,Unincorporated,CA,,LNU,Sonoma,,10/23/2019 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,885350.0,1981.0,1506 MOUNT WESKE DR WINDSOR CA 95492,38.5660984256533,-122.796108853796
92433,No Damage,23920.0,Foresthill,Road,Foresthill,CA,95631.0,NEU,Placer,,9/6/2022 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,No Deck/Porch,Combustible,Combustible,,,39861.0,1955.0,"23920 FORESTHILL RD, FORESTHILL, CA 95631",39.01855795,-120.82790888
100422,No Damage,90.0,Alviso,Drive,Camarillo,CA,93010.0,VNC,Ventura,,11/6/2024 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,0.0,Tile,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,432033.0,1983.0,"90 ALVISO DR, CAMARILLO, CA 93010",34.2422979,-119.0720252
115763,Destroyed (>50%),470.0,E Poppyfields,Drive,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Unknown,Combustible,,,376812.0,1991.0,"470 E POPPYFIELDS DR, ALTADENA, CA 91001",34.1951615,-118.1367362
22336,No Damage,0.0,,,,CA,,CZU,Santa Cruz,Boulder Creem,8/16/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,117893.0,1947.0,17780 CHINA GRADE RD BOULDER CREEK CA 95006,37.1658159116077,-122.162824418181
40450,Destroyed (>50%),5305.0,Palo Verde,Lane,Paradise Central Southwest B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Fire Department,Utility Misc Structure,Other Minor Structure,,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,75984.0,1955.0,5305  PALOS VERDES LN   PARADISE CA 95969,39.7402087572129,-121.624356435864
77627,No Damage,745.0,-500 Doyle Grade ,Road,Doyle,CA,96109.0,LMU,Lassen,,7/4/2021 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,65234.0,,745500 DOYLE GRADE RD DOYLE CA 96109,40.017720581799,-120.125303633782
92735,No Damage,4734.0,Carstens,Road,Midpines,CA,95345.0,MMU,Mariposa,,7/22/2022 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,106220.0,1979.0,4734 CARSTENS RD MIDPINES 95345 CA,37.55219198,-119.91484334
42220,Destroyed (>50%),5700.0,Eves,Lane,Unincorporated,CA,,BTU,Butte,Chico,11/8/2018 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,0-10,,112351.0,2012.0,5700  EVES LN   CHICO CA 95926,39.7385567919176,-121.68503984945
24168,Destroyed (>50%),0.0,Last Chance ,Road,,CA,,CZU,Santa Cruz,Davenport ,8/16/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Metal,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,,,37.1217825430961,-122.253874277714
116827,Destroyed (>50%),2857.0,Maiden,Lane,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Unknown,Unknown,Unknown,Unknown,,,132560.0,1946.0,"2857 MAIDEN LN, ALTADENA, CA 91001",34.1942695,-118.1275676
38553,Destroyed (>50%),5666.0,Jewel,Road,Paradise Southwest B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Mobile Home Double Wide,Single Residence,,Metal,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,,<30',4199.0,0.0,5666  JEWELL RD   PARADISE CA 95969,39.7515681063572,-121.634301918835
62724,Destroyed (>50%),1717.0,Rita,Place,Santa Rosa,CA,0.0,LNU,Sonoma,Coffey Park,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unknown,Unknown,Combustible,Multi Pane, , , ,,,,299129.0,,1717 RITA PL SANTA ROSA CA 95403,38.4790956723775,-122.754491117612
117457,No Damage,2407.0,E Woodlyn,Road,Pasadena,CA,91104.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,,241539.0,1946.0,"2407 E WOODLYN RD, PASADENA, CA 91104",34.1675171,-118.1009337
116264,Destroyed (>50%),3082.0,Raymond,Avenue,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,No Vents,Stucco Brick Cement,Unknown,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,,,156182.0,1910.0,"3082 RAYMOND AVE, ALTADENA, CA 91001",34.1966614,-118.1411103
7026,No Damage,61953.0,Huntington Lake,Road,,CA,0.0,FKU,Fresno,,9/4/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,No Windows,Wood,No Deck/Porch,Non Combustible,No Fence,,,0.0,0.0, LAKESHORE CA 93634,37.2367812898007,-119.188805428867
90487,No Damage,5765.0,Carleton,Road,Mariposa,CA,95338.0,MMU,Mariposa,,7/22/2022 12:00:00 AM,Fire,Engine Company Actions,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,,<30',196780.0,0.0,"4643 TRIANGLE RD, MARIPOSA, CA 95338",37.50830641,-119.90749758987
95677,Destroyed (>50%),0.0,Campbellville,Trail,,CA,0.0,TGU,Tehama,,7/24/2024 12:00:00 AM,Fire,Unknown,Motor Home,Single Residence,0.0,Other,Unknown,"Mesh Screen <= 1/8""""",Vinyl,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,0.0,0.0,,40.0019828,-121.7754216
52247,Destroyed (>50%),0.0,WES Camp,Other,Unincorporated,CA,,SHU,Shasta,WES Camp,7/23/2018 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,,Metal,Enclosed,No Vents,Combustible,Single Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,,,,0.0,,40.5809811869247,-122.542522977695
66076,Destroyed (>50%),21000.0,Butts Canyon,Road,Unincorporated,CA,0.0,LNU,Lake,Middletown,9/12/2015 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,,,,591929.0,,22000 BUTTS CANYON RD MIDDLETOWN CA 95461,38.742947159081,-122.515445613448
9027,No Damage,55273.0,Point ,Road,,CA,0.0,FKU,Fresno,,9/4/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,0.0,0.0,   ,37.2033284907609,-119.249634255443
33941,Destroyed (>50%),539.0,Castle,Drive,Paradise Southwest B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,,Metal,No Eaves,No Vents,Ignition Resistant,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,101856.0,1985.0,539  CASTLE DR   PARADISE CA 95969,39.7678233138807,-121.631373322075
93945,Destroyed (>50%),0.0,Mariposa,,,CA,0.0,MMU,Mariposa,,7/4/2024 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unknown,No Vents,Metal,No Windows,No Deck/Porch,No Deck/Porch,Unknown,No Fence,,,0.0,0.0,,37.4840307,-119.9595587
122684,Destroyed (>50%),18326.0,Wakecrest,Drive,Malibu,CA,90265.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,,,381496.0,1962.0,"18326 WAKECREST DR, MALIBU, CA 90265",34.0427952,-118.5747631
81029,Destroyed (>50%),5285.0,Wooded Glen ,Road,Grizzly Flats,CA,95636.0,AEU,El Dorado,Grizzly Flats,8/14/2021 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Vinyl,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,11-20,,169793.0,,5285 WOODED GLEN RD GRIZZLY FLATS CA 95636,38.6322465510953,-120.532110008634
68383,Destroyed (>50%),2040.0,Lawndale,Road,Unincorporated,CA,0.0,LNU,Sonoma,Sonoma ,10/8/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,,,,204485.0,1948.0,2040 LAWNDALE RD,38.4043579476239,-122.570940003118
61641,Destroyed (>50%),1616.0,Keoke,Court,Santa Rosa,CA,0.0,LNU,Sonoma,Coffey Park,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unenclosed,Screened,Combustible,Multi Pane, , , ,,,,120773.0,,1616 KEOKE CT SANTA ROSA CA 95403,38.4802130205493,-122.749490701279
119278,No Damage,2456.0,E Washington,Boulevard,Pasadena,CA,91104.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Multi Family Residence Single Story,Multiple Residence,2.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,263559.0,1952.0,"2456 E WASHINGTON BLVD, PASADENA, CA 91104",34.1687387,-118.0997857
13868,No Damage,3000.0,Spring Mountain ,Road,,CA,,LNU,Napa,St. Helena ,9/27/2020 12:00:00 AM,Fire,Engine Company Actions,Single Family Residence Multi Story,Single Residence,,Unknown,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,No Fence,,,3073452.0,1998.0,3000 SPRING MOUNTAIN RD SAINT HELENA CA 94574,38.515499281712,-122.498676833006
16317,No Damage,8535.0,Quail Canyon.  ,Road,,CA,,LNU,Solano,,8/16/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,529725.0,1988.0,8535 QUAIL CANYON RD VACAVILLE CA 95688,38.4837731660388,-122.051814179885
10136,No Damage,668.0,Scotland,Court,Santa Rosa,CA,,LNU,Sonoma,Santa Rosa,9/27/2020 12:00:00 AM,Fire,Combination of Actions,Single Family Residence Multi Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,Wood,Combustible,Combustible,,30-50',150251.0,1978.0,668 SCOTLAND CT SANTA ROSA CA 95409,38.4638448383755,-122.628049044443
97303,No Damage,833.0,East La Loma,Avenue,Somis,CA,93066.0,VNC,Ventura,,11/6/2024 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,<30',351135.0,1959.0,"833 E LA LOMA AVE, SOMIS, CA 93066",34.2919956,-119.0581689
13455,No Damage,500.0,Pythian,Road,,CA,,LNU,Sonoma,,9/27/2020 12:00:00 AM,Fire,Engine Company Actions,Commercial Building Single Story,Nonresidential Commercial,,Tile,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,0-10,,29130260.0,1948.0,500 PYTHIAN RD KENWOOD CA 95409,38.442423404908,-122.57228942449
4778,Destroyed (>50%),12880.0,Oro Quincy Hwy,Other,,CA,0.0,BTU,Butte,,9/9/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unknown,Unknown,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,0.0,,39.6907339497349,-121.33570823355
23516,No Damage,230.0,Hidden Falls,Trail,,CA,,CZU,Santa Cruz,,8/16/2020 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,89429.0,,230 HIDDEN FALLS TRL BEN LOMOND CA 95005,37.0944747092982,-122.115339534246
96810,No Damage,18559.0,Inskip View,Road,,CA,0.0,TGU,Tehama,,7/24/2024 12:00:00 AM,Fire,Engine Company Actions,Utility Misc Structure,Other Minor Structure,0.0,Metal,No Eaves,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,13858.0,0.0,,40.3339498,-121.9153137
72280,Destroyed (>50%),203.0,Woodridge,Court,Weed,CA,0.0,SKU,Siskiyou,Hillside,9/15/2014 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unenclosed,Unknown,,Unknown, , , ,,,,130000.0,,203 WOODRIDGE CT,41.429385749405,-122.382037740359
76159,No Damage,14151.0,Chalk Hill ,Road,Unincorporated,CA,,LNU,Sonoma,,10/23/2019 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,103959.0,1960.0,14151 CHALK HILL RD HEALDSBURG CA 95448,38.6141495302874,-122.771108816694
