OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
3266,Destroyed (>50%),0.0,Union Bar ,Road,,CA,0.0,BTU,Butte,Feather Falls ,9/9/2020 12:00:00 AM,Fire,,Motor Home,Single Residence,0.0,Other,No Eaves,No Vents,Vinyl,Multi Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,,,0.0,0.0,No Address Available,39.5569109988815,-121.384062132419
10325,Destroyed (>50%),13.0,Bournemouth ,Road,,CA,,LNU,Napa,St. Helena ,9/27/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,,,206278.0,1978.0,13 BOURNEMOUTH RD SAINT HELENA CA 94574,38.5291826979827,-122.486761106564
13244,No Damage,1381.0,Adobe Canyon ,Road,,CA,,LNU,Sonoma,Kenwood ,9/27/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,,45771.0,1945.0,1381 ADOBE CANYON RD KENWOOD CA 95452,38.4397147024557,-122.543584657003
122645,Destroyed (>50%),3811.0,Topanga Canyon,Lane,Malibu,CA,90265.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Commercial Building Single Story,Nonresidential Commercial,0.0,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,,,"18803 PACIFIC COAST HWY, MALIBU, CA 90265",34.0398117,-118.5823298
15234,No Damage,6202.0,Pleasant Valley,Road,,CA,,LNU,Solano,,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,99403.0,1975.0,6202 PLEASANTS VALLEY RD VACAVILLE CA 95688,38.3557870466547,-122.023884798625
90530,No Damage,4375.0,Triangle ,Road,Mariposa,CA,95338.0,MMU,Mariposa,,7/22/2022 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,>50',191386.0,1976.0,4375 TRIANGLE RD MARIPOSA 95338 CA,37.50977309,-119.88893285
44850,Destroyed (>50%),1550.0,Gate,Lane,Paradise Northeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,194804.0,1985.0,1550  GATE LN   PARADISE CA 95969,39.7969242211913,-121.584001022199
98694,No Damage,5701.0,Acorn,Drive,Wrightwood,CA,92397.0,BDU,San Bernardino,,9/8/2024 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,1739701.0,1952.0,"5575 ACORN DR, WRIGHTWOOD, CA 92397",34.3514155,-117.6437221
77850,Destroyed (>50%),386.0,Horse Tail ,Road,,CA,95971.0,LMU,Plumas,,7/4/2021 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,15352.0,,386 HORSE TAIL RD CA 95971,39.8938303749041,-120.232710380029
51402,Destroyed (>50%),11044.0,Wingfield,Lane,Unincorporated,CA,,SHU,Shasta,Shasta,7/23/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Combustible,Single Pane,Unknown,No Deck/Porch,No Patio Cover/Carport,Non Combustible,0-10,,113520.0,1960.0,11044 WINGFIELD LN SHASTA CA 96087,40.6068964524929,-122.503066373387
