OBJECTID,Damage,Street Name,"Street Type (e.g. road, drive, lane, etc.)",City,Zip Code,CAL FIRE Unit,County,Incident Start Date,Structure Type,Structure Category,Roof Construction,Eaves,Exterior Siding,Window Pane,Deck/Porch On Grade,Deck/Porch Elevated,Patio Cover/Carport Attached to Structure,Fence Attached to Structure,Assessed Improved Value (parcel),Year Built (parcel),Latitude,Longitude,Daily Incident Count,Dist to Station km,Fire Risk Score,Accessibility Risk
102797,No Damage,N Michillinda,Avenue,Sierra Madre,91024,lac,Los Angeles,2025-01-07,single family residence single story,Single Residence,Asphalt,Enclosed,Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,349267,1960,34.1724815,-118.0678858,64,2.3910835470845235,1.7854112933867108,2.450754809960761
37201,Destroyed (>50%),Crestview,Drive,Paradise Southwest B,95969,btu,Butte,2018-11-08,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,90000,1946,39.7633251948928,-121.62958908736,1285,1.1425610692674162,2.9487043316053905,3.5367085059654513
9312,Destroyed (>50%),Bender,Road,Igo,96047,shu,Shasta,2020-09-27,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,170000,1965,40.4984489955415,-122.593628498026,39,4.3790936811160766,5.648776297162938,2.8676720276020014
57086,No Damage,La Grande,Avenue,Napa,94558,lnu,Napa,2017-10-08,single family residence multi story,Single Residence,Fire Resistant,Unenclosed,Fire Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,308967,1990,38.3358876224657,-122.247745296211,26,1.440972144412259,1.4526857476556603,2.85324268434089
80829,Destroyed (>50%),Edgewood,Circle,Grizzly Flats,95636,aeu,El Dorado,2021-08-14,single family residence multi story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Non Combustible,153979,1974,38.640707883572,-120.519576199056,59,12.368803116872142,8.111315169839958,1.980248129959205
31450,Destroyed (>50%),Skyway,Avenue,Paradise Northwest B,95969,btu,Butte,2018-11-08,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,Non Combustible,150830,1969,39.7771013809465,-121.606089256545,1285,1.6253359072073092,3.5583252646500547,3.385756524160881
72088,Destroyed (>50%),Yankee Valley,Road,Unincorporated,95467,lnu,Lake,2015-09-12,single family residence single story,Single Residence,Fire Resistant,Unenclosed,Fire Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,350000,1989,38.7804021803001,-122.523371960341,3,3.225927686523815,4.955828125985885,2.744677665963998
84596,No Damage,Top Of The West,Trail,Chester,96020,lmu,Plumas,2021-07-13,single family residence multi story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,Wood,Wood,Combustible,Non Combustible,187773,1986,40.2357952043281,-121.209430006801,35,15.072054580253079,3.1675344625828266,2.6476204618422465
83095,No Damage,Lindenwood,Drive,South Lake Tahoe,96150,aeu,El Dorado,2021-08-14,single family residence multi story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,Non Combustible,538500,1974,38.8487335942585,-120.017725161992,102,0.9711104266400915,1.01114062097699,1.7759113086513754
42062,Destroyed (>50%),Stiras,Way,Paradise Northwest B,95969,btu,Butte,2018-11-08,single family residence single story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,245000,2002,39.784190036841,-121.601865331367,1285,0.9842370402150886,2.7618444852174955,3.3648882728178307
85975,Destroyed (>50%),Williams  Valley,Road,Greenville,95947,lmu,Plumas,2021-07-13,utility misc structure,Other Minor Structure,Metal,Unenclosed,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,4026,1986,40.1552562333806,-120.941622363345,115,12.32584443783445,8.187948451076256,2.0582292517755447
